YEAR,CODE_REGION,REGION,CODE_AREA,AREA,MONTHLY_INCOME,CURRENT_INCOME,MONEY_INCOME,FROM_WORK,CURRENT_TRANSFER,PROPERTY_INCOME,NONMONEY_INCOME,NONCUR_M_INCOME,UNIT,SOURCE
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,41002,40816,35980,31931,3011,1038,4836,186,บาท,สำนักงานสถิติแห่งชาติ
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,42766,42560,37560,33199,3204,1156,5000,206,บาท,สำนักงานสถิติแห่งชาติ
2558,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,30680,30610,26738,24507,1885,346,3872,70,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,0,เขตการปกครอง,26601,26138,23039,20575,2242,222,3099,463,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,1,ในเขตเทศบาล,27244,26967,24022,21271,2455,296,2944,277,บาท,สำนักงานสถิติแห่งชาติ
2558,2,กลาง,2,นอกเขตเทศบาล,26106,25500,22282,20038,2079,165,3218,606,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,0,เขตการปกครอง,18952,18542,15582,12459,2864,260,2960,410,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,1,ในเขตเทศบาล,20401,20008,17058,13604,3111,343,2951,392,บาท,สำนักงานสถิติแห่งชาติ
2558,3,เหนือ,2,นอกเขตเทศบาล,18086,17665,14700,11774,2716,210,2965,421,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,21094,20614,16950,13285,3499,166,3664,480,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,25740,25272,21820,17675,3877,268,3452,469,บาท,สำนักงานสถิติแห่งชาติ
2558,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,19004,18519,14760,11311,3329,120,3759,485,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,0,เขตการปกครอง,26286,25826,22695,20047,2324,324,3131,459,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,1,ในเขตเทศบาล,29500,29322,26023,22620,2924,479,3299,178,บาท,สำนักงานสถิติแห่งชาติ
2558,5,ใต้,2,นอกเขตเทศบาล,24391,23766,20734,18531,1969,234,3032,625,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,26946,26603,22878,19359,3132,386,3725,343,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,32744,32491,28407,24238,3558,610,4084,253,บาท,สำนักงานสถิติแห่งชาติ
2560,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,21862,21440,18029,15081,2759,190,3411,423,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,41897,41790,36749,32076,3670,1003,5042,107,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,43005,42896,37655,32593,3955,1107,5241,109,บาท,สำนักงานสถิติแห่งชาติ
2560,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,35899,35802,31843,29279,2126,439,3959,97,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,0,เขตการปกครอง,27042,26675,23469,20924,2353,192,3206,367,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,1,ในเขตเทศบาล,29524,29255,26046,23456,2388,203,3208,269,บาท,สำนักงานสถิติแห่งชาติ
2560,2,กลาง,2,นอกเขตเทศบาล,25105,24663,21459,18949,2326,183,3204,443,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,0,เขตการปกครอง,19046,18647,15555,12220,3014,320,3092,399,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,1,ในเขตเทศบาล,22250,21786,18628,14589,3602,436,3158,464,บาท,สำนักงานสถิติแห่งชาติ
2560,3,เหนือ,2,นอกเขตเทศบาล,17154,16793,13740,10820,2667,252,3053,361,บาท,สำนักงานสถิติแห่งชาติ
2560,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,20271,19752,16082,12103,3812,167,3669,519,บาท,สำนักงานสถิติแห่งชาติ
2560,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,23767,23388,19858,15541,4076,241,3530,379,บาท,สำนักงานสถิติแห่งชาติ
2560,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,18730,18149,14418,10589,3696,134,3731,581,บาท,สำนักงานสถิติแห่งชาติ
2560,5,ใต้,0,เขตการปกครอง,26913,26657,23202,20594,2363,245,3456,256,บาท,สำนักงานสถิติแห่งชาติ
2560,5,ใต้,1,ในเขตเทศบาล,30670,30421,26670,22720,3513,437,3751,249,บาท,สำนักงานสถิติแห่งชาติ
2560,5,ใต้,2,นอกเขตเทศบาล,24799,24540,21250,19397,1716,137,3289,260,บาท,สำนักงานสถิติแห่งชาติ
2562,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,26018,25718,22050,18493,3330,227,3668,301,บาท,สำนักงานสถิติแห่งชาติ
2562,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,30747,30529,26615,22763,3525,327,3914,218,บาท,สำนักงานสถิติแห่งชาติ
2562,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,21871,21498,18046,14748,3158,139,3452,373,บาท,สำนักงานสถิติแห่งชาติ
2562,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,37751,37631,33007,29439,3200,368,4624,120,บาท,สำนักงานสถิติแห่งชาติ
2562,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,38691,38583,33893,30137,3344,412,4690,108,บาท,สำนักงานสถิติแห่งชาติ
2562,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,32841,32656,28380,25793,2447,139,4276,186,บาท,สำนักงานสถิติแห่งชาติ
2562,2,กลาง,0,เขตการปกครอง,25782,25556,22314,19561,2558,195,3243,226,บาท,สำนักงานสถิติแห่งชาติ
2562,2,กลาง,1,ในเขตเทศบาล,26840,26640,23301,20299,2784,219,3339,200,บาท,สำนักงานสถิติแห่งชาติ
2562,2,กลาง,2,นอกเขตเทศบาล,24960,24714,21546,18987,2382,177,3167,246,บาท,สำนักงานสถิติแห่งชาติ
2562,3,เหนือ,0,เขตการปกครอง,20270,19749,16531,12705,3564,261,3219,520,บาท,สำนักงานสถิติแห่งชาติ
2562,3,เหนือ,1,ในเขตเทศบาล,23534,23219,19872,15070,4405,397,3347,316,บาท,สำนักงานสถิติแห่งชาติ
2562,3,เหนือ,2,นอกเขตเทศบาล,18384,17745,14601,11340,3078,183,3144,639,บาท,สำนักงานสถิติแห่งชาติ
2562,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,20600,20175,16376,11960,4276,140,3799,425,บาท,สำนักงานสถิติแห่งชาติ
2562,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,25750,25301,21614,16917,4443,254,3687,448,บาท,สำนักงานสถิติแห่งชาติ
2562,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,18294,17879,14029,9739,4201,89,3850,415,บาท,สำนักงานสถิติแห่งชาติ
2562,5,ใต้,0,เขตการปกครอง,25647,25466,22283,19413,2695,175,3183,181,บาท,สำนักงานสถิติแห่งชาติ
2562,5,ใต้,1,ในเขตเทศบาล,26916,26765,23459,20202,3001,256,3307,151,บาท,สำนักงานสถิติแห่งชาติ
2562,5,ใต้,2,นอกเขตเทศบาล,24949,24751,21635,18979,2526,131,3116,198,บาท,สำนักงานสถิติแห่งชาติ
2564,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,27352,27018,22367,18255,3869,243,4650,334,บาท,สำนักงานสถิติแห่งชาติ
2564,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,31705,31430,26351,21921,4078,351,5079,275,บาท,สำนักงานสถิติแห่งชาติ
2564,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,23554,23168,18892,15057,3686,149,4276,386,บาท,สำนักงานสถิติแห่งชาติ
2564,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,39047,38737,32223,28183,3591,449,6514,310,บาท,สำนักงานสถิติแห่งชาติ
2564,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,39273,39039,32470,28223,3758,489,6569,235,บาท,สำนักงานสถิติแห่งชาติ
2564,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,37877,37178,30945,27975,2729,241,6233,699,บาท,สำนักงานสถิติแห่งชาติ
2564,2,กลาง,0,เขตการปกครอง,28166,27903,23786,20404,3183,199,4118,263,บาท,สำนักงานสถิติแห่งชาติ
2564,2,กลาง,1,ในเขตเทศบาล,29346,29102,25081,21298,3560,223,4020,244,บาท,สำนักงานสถิติแห่งชาติ
2564,2,กลาง,2,นอกเขตเทศบาล,27251,26975,22781,19711,2889,180,4194,277,บาท,สำนักงานสถิติแห่งชาติ
2564,3,เหนือ,0,เขตการปกครอง,20995,20610,16617,12209,4151,257,3993,385,บาท,สำนักงานสถิติแห่งชาติ
2564,3,เหนือ,1,ในเขตเทศบาล,23521,23213,19133,14240,4570,323,4080,308,บาท,สำนักงานสถิติแห่งชาติ
2564,3,เหนือ,2,นอกเขตเทศบาล,19553,19124,15181,11050,3912,219,3943,429,บาท,สำนักงานสถิติแห่งชาติ
2564,4,ตะวันออกเฉียงเหนือ,0,เขตการปกครอง,21587,21172,16906,11934,4838,134,4267,415,บาท,สำนักงานสถิติแห่งชาติ
2564,4,ตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,25189,24849,20701,15346,5110,245,4148,341,บาท,สำนักงานสถิติแห่งชาติ
2564,4,ตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,20009,19562,15244,10440,4719,85,4319,447,บาท,สำนักงานสถิติแห่งชาติ
2564,5,ใต้,0,เขตการปกครอง,26621,26352,22218,18839,3200,179,4133,270,บาท,สำนักงานสถิติแห่งชาติ
2564,5,ใต้,1,ในเขตเทศบาล,29612,29271,24775,20472,3993,310,4496,341,บาท,สำนักงานสถิติแห่งชาติ
2564,5,ใต้,2,นอกเขตเทศบาล,24945,24715,20785,17924,2755,106,3930,230,บาท,สำนักงานสถิติแห่งชาติ
2566,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,29030,28706,24501,20465,3794,242,4205,325,บาท,สำนักงานสถิติแห่งชาติ
2566,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,33464,33157,28764,24297,4141,325,4393,307,บาท,สำนักงานสถิติแห่งชาติ
2566,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,25002,24662,20629,16983,3480,166,4033,340,บาท,สำนักงานสถิติแห่งชาติ
2566,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",0,เขตการปกครอง,39087,38905,33810,30027,3448,334,5095,182,บาท,สำนักงานสถิติแห่งชาติ
2566,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",1,ในเขตเทศบาล,39635,39449,34312,30300,3651,361,5138,185,บาท,สำนักงานสถิติแห่งชาติ
2566,1,"กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ",2,นอกเขตเทศบาล,36359,36193,31309,28666,2441,202,4884,166,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,0,เขตการปกครอง,30200,29939,26262,23036,3036,190,3677,261,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,1,ในเขตเทศบาล,32515,32242,28515,24919,3388,208,3727,273,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,2,นอกเขตเทศบาล,28373,28120,24484,21549,2759,176,3637,252,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,0,เขตการปกครอง,24040,23558,19585,15040,4218,327,3973,482,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,1,ในเขตเทศบาล,27650,27084,23012,17311,5193,508,4072,566,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,2,นอกเขตเทศบาล,21901,21469,17555,13695,3640,220,3914,432,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,0,เขตการปกครอง,22524,22130,17908,12724,5024,161,4221,395,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,26147,25681,21695,15694,5782,219,3986,465,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,20855,20493,16164,11355,4675,134,4330,362,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,0,เขตการปกครอง,28532,28183,24279,21189,2864,226,3905,349,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,1,ในเขตเทศบาล,31163,30900,26853,22836,3631,386,4047,263,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,2,นอกเขตเทศบาล,26991,26592,22771,20225,2415,132,3821,399,บาท,สำนักงานสถิติแห่งชาติ
